,num_execucao,n,tempo
0,1,10,1.420689344406128
1,2,10,1.0938091278076172
2,3,10,1.0842652320861816
3,4,10,1.0998375415802002
4,5,10,1.1054635047912598
5,6,10,1.0734972953796387
6,7,10,1.0626304149627686
7,8,10,1.084425687789917
8,9,10,1.0550503730773926
9,10,10,1.2183341979980469
10,11,10,1.1050801277160645
11,12,10,1.083972692489624
12,13,10,1.0698091983795166
13,14,10,1.0552997589111328
14,15,10,1.0724985599517822
15,16,10,1.0873064994812012
16,17,10,1.0537679195404053
17,18,10,1.0819122791290283
18,19,10,1.067122459411621
19,20,10,1.066333293914795
20,1,50,1.2455317974090576
21,2,50,1.2303016185760498
22,3,50,1.1926345825195312
23,4,50,1.1833233833312988
24,5,50,1.2293272018432617
25,6,50,1.2091014385223389
26,7,50,1.181013584136963
27,8,50,1.2642269134521484
28,9,50,1.2738797664642334
29,10,50,1.260551929473877
30,11,50,1.1960160732269287
31,12,50,1.1658549308776855
32,13,50,1.206749677658081
33,14,50,1.2133088111877441
34,15,50,1.1915316581726074
35,16,50,1.1639153957366943
36,17,50,1.1532013416290283
37,18,50,1.2899787425994873
38,19,50,1.2094299793243408
39,20,50,1.1922097206115723
40,1,100,1.3787269592285156
41,2,100,1.3339531421661377
42,3,100,1.400437831878662
43,4,100,1.3906924724578857
44,5,100,1.3235609531402588
45,6,100,1.3870470523834229
46,7,100,1.3986279964447021
47,8,100,1.342646837234497
48,9,100,1.2778348922729492
49,10,100,1.3031635284423828
50,11,100,1.488509178161621
51,12,100,1.3257513046264648
52,13,100,1.356544017791748
53,14,100,1.3292672634124756
54,15,100,1.4325411319732666
55,16,100,1.3948557376861572
56,17,100,1.3598217964172363
57,18,100,1.3311898708343506
58,19,100,1.3673887252807617
59,20,100,1.3178677558898926
60,1,200,1.8918893337249756
61,2,200,1.7798912525177002
62,3,200,1.759312391281128
63,4,200,1.7571051120758057
64,5,200,1.7388062477111816
65,6,200,1.7913818359375
66,7,200,1.752849817276001
67,8,200,1.9028377532958984
68,9,200,1.7328083515167236
69,10,200,1.9367172718048096
70,11,200,1.7585437297821045
71,12,200,1.7541615962982178
72,13,200,1.6774444580078125
73,14,200,1.8357930183410645
74,15,200,1.6887564659118652
75,16,200,6.868849754333496
76,17,200,2.0381734371185303
77,18,200,1.7382652759552002
78,19,200,1.844311237335205
79,20,200,1.8384349346160889
80,1,500,3.010153293609619
81,2,500,3.1401309967041016
82,3,500,3.0354835987091064
83,4,500,3.0329394340515137
84,5,500,2.900721311569214
85,6,500,2.9665567874908447
86,7,500,3.0527782440185547
87,8,500,3.0512402057647705
88,9,500,2.89424729347229
89,10,500,3.0952038764953613
90,11,500,2.970170497894287
91,12,500,3.1177027225494385
92,13,500,3.2310805320739746
93,14,500,3.067263126373291
94,15,500,2.9734508991241455
95,16,500,2.950937032699585
96,17,500,3.099370002746582
97,18,500,3.3401477336883545
98,19,500,13.00163984298706
99,20,500,3.1171200275421143
100,1,1000,5.8868420124053955
101,2,1000,5.318746566772461
102,3,1000,5.322736978530884
103,4,1000,5.1219165325164795
104,5,1000,5.497014045715332
105,6,1000,5.39628005027771
106,7,1000,5.664283990859985
107,8,1000,5.663336992263794
108,9,1000,5.283786058425903
109,10,1000,5.661886215209961
110,11,1000,5.709118604660034
111,12,1000,5.3112006187438965
112,13,1000,5.357244253158569
113,14,1000,5.256407737731934
114,15,1000,5.451949834823608
115,16,1000,5.733593702316284
116,17,1000,5.34264874458313
117,18,1000,5.330538272857666
118,19,1000,5.254383087158203
119,20,1000,6.302804470062256
